波长/nm,前视相机PAN,B1,B2 ,B3,B4
502,0.304,0.925,0.008,0.005,0.004
503,0.303,0.934,0.008,0.005,0.004
504,0.303,0.943,0.008,0.005,0.004
505,0.302,0.952,0.008,0.005,0.004
506,0.302,0.961,0.007,0.005,0.005
507,0.303,0.971,0.007,0.005,0.005
508,0.303,0.981,0.007,0.005,0.006
509,0.303,0.99,0.007,0.004,0.006
510,0.304,1,0.006,0.004,0.007
511,0.304,1,0.006,0.004,0.007
512,0.305,1,0.005,0.004,0.006
513,0.306,1,0.005,0.004,0.006
514,0.307,1,0.004,0.004,0.006
515,0.308,0.999,0.003,0.004,0.006
516,0.31,0.89,0.045,0.004,0.005
517,0.312,0.781,0.087,0.004,0.005
518,0.314,0.671,0.129,0.004,0.005
519,0.316,0.562,0.172,0.004,0.004
520,0.318,0.452,0.214,0.004,0.004
521,0.322,0.365,0.286,0.003,0.004
522,0.327,0.277,0.358,0.003,0.004
523,0.331,0.189,0.431,0.003,0.004
524,0.335,0.102,0.503,0.003,0.004
525,0.34,0.014,0.576,0.003,0.004
526,0.345,0.014,0.594,0.003,0.004
527,0.351,0.014,0.613,0.003,0.004
528,0.356,0.013,0.632,0.003,0.005
529,0.361,0.013,0.65,0.003,0.005
530,0.367,0.013,0.669,0.003,0.005
531,0.373,0.013,0.667,0.003,0.006
532,0.379,0.012,0.665,0.003,0.006
533,0.386,0.012,0.662,0.003,0.006
534,0.392,0.012,0.66,0.003,0.007
535,0.399,0.012,0.658,0.003,0.007
536,0.406,0.012,0.654,0.003,0.007
537,0.413,0.011,0.65,0.003,0.008
538,0.42,0.011,0.646,0.002,0.008
539,0.427,0.011,0.642,0.002,0.009
540,0.435,0.01,0.638,0.002,0.009
541,0.443,0.01,0.637,0.002,0.009
542,0.451,0.01,0.636,0.002,0.009
543,0.459,0.009,0.636,0.002,0.009
544,0.467,0.009,0.635,0.002,0.009
545,0.475,0.009,0.635,0.002,0.009
546,0.484,0.009,0.636,0.002,0.009
547,0.493,0.009,0.637,0.002,0.009
548,0.502,0.008,0.638,0.002,0.009
549,0.511,0.008,0.639,0.002,0.009
550,0.52,0.008,0.64,0.002,0.009
551,0.528,0.008,0.646,0.002,0.009
552,0.537,0.007,0.653,0.002,0.01
553,0.545,0.007,0.659,0.002,0.01
554,0.553,0.007,0.666,0.002,0.01
555,0.561,0.006,0.673,0.001,0.01
556,0.567,0.006,0.686,0.001,0.009
557,0.573,0.006,0.699,0.001,0.009
558,0.579,0.006,0.712,0.001,0.008
559,0.586,0.006,0.726,0.001,0.008
560,0.592,0.005,0.739,0.001,0.007
561,0.597,0.005,0.754,0.001,0.007
562,0.602,0.005,0.77,0.001,0.008
563,0.607,0.005,0.786,0.001,0.008
564,0.612,0.004,0.801,0.001,0.008
565,0.617,0.004,0.817,0.001,0.009
566,0.62,0.004,0.834,0.001,0.009
567,0.622,0.004,0.851,0.001,0.009
568,0.624,0.003,0.867,0.001,0.01
569,0.626,0.003,0.884,0.001,0.01
570,0.628,0.003,0.901,0.001,0.011
571,0.63,0.003,0.909,0,0.01
572,0.631,0.002,0.918,0,0.009
573,0.633,0.002,0.926,0,0.008
574,0.634,0.002,0.934,0,0.008
575,0.635,0.002,0.943,0,0.007
576,0.637,0.002,0.949,0,0.007
577,0.639,0.001,0.956,0,0.006
578,0.64,0.001,0.962,0,0.006
579,0.642,0.001,0.969,0,0.006
580,0.643,0.001,0.976,0,0.005
581,0.644,0.001,0.98,0,0.006
582,0.645,0.001,0.985,0,0.006
583,0.646,0.001,0.99,0,0.007
584,0.647,0.001,0.995,0,0.007
585,0.648,0.001,1,0,0.007
586,0.648,0.001,0.927,0,0.008
587,0.647,0.001,0.854,0,0.008
588,0.647,0.001,0.78,0,0.009
589,0.647,0.001,0.707,0,0.009
590,0.646,0.001,0.634,0.001,0.01
591,0.645,0.001,0.527,0.001,0.01
592,0.644,0,0.42,0.001,0.01
593,0.642,0,0.314,0.001,0.01
594,0.641,0,0.207,0.001,0.01
595,0.64,0,0.1,0.001,0.01
596,0.639,0,0.081,0.001,0.009
597,0.638,0,0.061,0.001,0.009
