spec,PAN,B1,B2,B3,B4
485,2.39E-01,7.25E-01,1.16E-02,5.80E-03,4.20E-03
486,2.42E-01,7.35E-01,1.16E-02,6.30E-03,4.20E-03
487,2.46E-01,7.42E-01,1.07E-02,6.80E-03,4.70E-03
488,2.49E-01,7.49E-01,9.70E-03,7.40E-03,5.30E-03
489,2.53E-01,7.59E-01,9.30E-03,8.40E-03,5.80E-03
490,2.56E-01,7.69E-01,8.80E-03,9.50E-03,6.30E-03
491,2.60E-01,7.81E-01,7.80E-03,9.50E-03,7.40E-03
492,2.64E-01,7.94E-01,6.90E-03,9.50E-03,8.40E-03
493,2.67E-01,8.06E-01,6.90E-03,9.00E-03,8.40E-03
494,2.70E-01,8.19E-01,6.90E-03,8.50E-03,8.40E-03
495,2.71E-01,8.28E-01,6.50E-03,7.40E-03,7.90E-03
496,2.73E-01,8.37E-01,6.00E-03,6.30E-03,7.40E-03
497,2.74E-01,8.41E-01,6.00E-03,5.80E-03,7.40E-03
498,2.76E-01,8.44E-01,6.00E-03,5.30E-03,7.40E-03
499,2.77E-01,8.44E-01,6.00E-03,5.30E-03,7.90E-03
500,2.77E-01,8.43E-01,6.00E-03,5.30E-03,8.40E-03
501,2.79E-01,8.43E-01,6.50E-03,5.30E-03,9.00E-03
502,2.80E-01,8.43E-01,7.00E-03,5.30E-03,9.50E-03
503,2.81E-01,8.49E-01,7.50E-03,5.80E-03,1.06E-02
504,2.83E-01,8.56E-01,8.00E-03,6.40E-03,1.16E-02
505,2.86E-01,8.71E-01,8.50E-03,6.90E-03,1.16E-02
506,2.89E-01,8.87E-01,9.00E-03,7.40E-03,1.16E-02
507,2.94E-01,9.05E-01,1.05E-02,8.50E-03,1.11E-02
508,2.98E-01,9.23E-01,1.20E-02,9.60E-03,1.06E-02
509,3.03E-01,9.38E-01,1.46E-02,1.01E-02,1.01E-02
510,3.08E-01,9.51E-01,1.71E-02,1.06E-02,9.50E-03
511,3.13E-01,9.64E-01,2.26E-02,1.06E-02,9.50E-03
512,3.19E-01,9.77E-01,2.81E-02,1.06E-02,9.50E-03
513,3.25E-01,9.88E-01,4.26E-02,1.01E-02,9.00E-03
514,3.30E-01,1.00E+00,5.70E-02,9.60E-03,8.50E-03
515,3.35E-01,9.95E-01,9.15E-02,9.00E-03,8.00E-03
516,3.41E-01,9.89E-01,1.26E-01,8.50E-03,7.40E-03
517,3.45E-01,9.22E-01,1.99E-01,8.50E-03,7.40E-03
518,3.49E-01,8.54E-01,2.73E-01,8.50E-03,7.40E-03
519,3.54E-01,7.24E-01,3.77E-01,8.50E-03,7.40E-03
520,3.58E-01,5.94E-01,4.81E-01,8.50E-03,7.40E-03
521,3.61E-01,4.61E-01,5.71E-01,9.00E-03,7.40E-03
522,3.64E-01,3.28E-01,6.61E-01,9.60E-03,7.40E-03
523,3.67E-01,2.43E-01,7.06E-01,1.01E-02,8.00E-03
524,3.71E-01,1.59E-01,7.49E-01,1.06E-02,8.50E-03
525,3.73E-01,1.20E-01,7.62E-01,1.12E-02,8.50E-03
526,3.76E-01,8.07E-02,7.75E-01,1.17E-02,8.50E-03
527,3.79E-01,6.31E-02,7.83E-01,1.22E-02,9.00E-03
528,3.82E-01,4.57E-02,7.94E-01,1.28E-02,9.50E-03
529,3.85E-01,3.73E-02,8.05E-01,1.22E-02,1.01E-02
