nm,P,B1,B2,B3,B4
776,9.20E-01,7.87E-07,1.84E-07,8.38E-03,8.51E-01
777,9.20E-01,9.11E-07,2.17E-07,8.50E-03,8.63E-01
778,9.18E-01,7.78E-07,1.86E-07,8.62E-03,8.69E-01
779,9.17E-01,6.64E-07,1.70E-07,8.75E-03,8.75E-01
780,9.16E-01,7.08E-07,1.98E-07,8.97E-03,8.78E-01
781,9.16E-01,6.33E-07,1.92E-07,9.15E-03,8.81E-01
782,9.15E-01,4.45E-07,1.40E-07,9.30E-03,8.81E-01
783,9.12E-01,1.96E-07,6.50E-08,9.53E-03,8.80E-01
784,9.12E-01,1.85E-07,6.94E-08,9.69E-03,8.80E-01
785,9.09E-01,3.69E-07,1.51E-07,9.76E-03,8.77E-01
786,9.08E-01,6.00E-07,2.54E-07,9.92E-03,8.77E-01
787,9.07E-01,6.27E-07,2.83E-07,1.00E-02,8.77E-01
788,9.07E-01,9.19E-07,4.60E-07,1.01E-02,8.76E-01
789,9.07E-01,1.24E-06,6.62E-07,1.01E-02,8.78E-01
790,9.07E-01,1.35E-06,7.42E-07,1.02E-02,8.79E-01
791,9.09E-01,1.13E-06,6.57E-07,1.03E-02,8.82E-01
792,9.11E-01,9.44E-07,5.73E-07,1.03E-02,8.87E-01
793,9.14E-01,8.52E-07,5.48E-07,1.03E-02,8.92E-01
794,9.17E-01,7.03E-07,4.74E-07,1.03E-02,8.98E-01
795,9.21E-01,8.37E-07,5.85E-07,1.01E-02,9.04E-01
796,9.25E-01,1.16E-06,8.31E-07,9.93E-03,9.11E-01
797,9.32E-01,1.39E-06,1.04E-06,9.81E-03,9.20E-01
798,9.36E-01,1.49E-06,1.17E-06,9.69E-03,9.27E-01
799,9.41E-01,1.37E-06,1.13E-06,9.65E-03,9.34E-01
800,9.47E-01,1.73E-06,1.53E-06,9.52E-03,9.43E-01
801,9.52E-01,0.00E+00,1.59E-06,9.28E-03,9.50E-01
802,9.60E-01,0.00E+00,1.50E-06,9.12E-03,9.60E-01
803,9.69E-01,0.00E+00,1.57E-06,8.82E-03,9.70E-01
804,9.73E-01,0.00E+00,1.97E-06,8.40E-03,9.75E-01
805,9.80E-01,0.00E+00,2.69E-06,8.09E-03,9.83E-01
806,9.85E-01,0.00E+00,3.61E-06,7.87E-03,9.88E-01
807,9.88E-01,0.00E+00,4.68E-06,7.65E-03,9.91E-01
808,9.94E-01,0.00E+00,6.08E-06,7.43E-03,9.97E-01
809,9.95E-01,0.00E+00,7.83E-06,7.12E-03,9.97E-01
810,9.99E-01,0.00E+00,9.67E-06,6.80E-03,1.00E+00
811,9.98E-01,0.00E+00,1.15E-05,6.50E-03,9.98E-01
812,9.98E-01,0.00E+00,1.30E-05,6.31E-03,9.97E-01
813,9.95E-01,0.00E+00,1.35E-05,6.12E-03,9.92E-01
814,1.00E+00,0.00E+00,1.39E-05,5.73E-03,9.97E-01
815,9.96E-01,0.00E+00,1.32E-05,5.34E-03,9.92E-01
816,9.93E-01,0.00E+00,1.20E-05,5.11E-03,9.89E-01
817,9.88E-01,0.00E+00,1.09E-05,4.97E-03,9.85E-01
818,9.86E-01,0.00E+00,1.03E-05,4.80E-03,9.83E-01
819,9.86E-01,0.00E+00,1.01E-05,4.70E-03,9.83E-01
820,9.80E-01,0.00E+00,9.58E-06,4.57E-03,9.79E-01
821,9.79E-01,0.00E+00,9.13E-06,4.32E-03,9.79E-01
822,9.75E-01,0.00E+00,8.86E-06,4.24E-03,9.76E-01
823,9.75E-01,0.00E+00,9.06E-06,3.97E-03,9.77E-01
824,9.75E-01,0.00E+00,9.47E-06,3.73E-03,9.79E-01
825,9.75E-01,0.00E+00,1.03E-05,3.48E-03,9.79E-01
826,9.72E-01,0.00E+00,1.12E-05,3.49E-03,9.78E-01
827,9.74E-01,0.00E+00,1.33E-05,3.32E-03,9.81E-01
828,9.78E-01,0.00E+00,1.83E-05,3.28E-03,9.86E-01
829,9.76E-01,0.00E+00,2.38E-05,3.03E-03,9.87E-01
830,9.77E-01,0.00E+00,3.04E-05,2.85E-03,9.88E-01
831,9.78E-01,0.00E+00,3.75E-05,2.99E-03,9.90E-01
832,9.77E-01,0.00E+00,4.38E-05,2.80E-03,9.89E-01
833,9.78E-01,0.00E+00,4.96E-05,2.77E-03,9.90E-01
834,9.79E-01,0.00E+00,5.19E-05,2.78E-03,9.89E-01
835,9.80E-01,0.00E+00,4.42E-05,2.65E-03,9.89E-01
836,9.81E-01,0.00E+00,4.27E-05,2.39E-03,9.89E-01
837,9.80E-01,0.00E+00,4.30E-05,2.50E-03,9.87E-01
838,9.78E-01,0.00E+00,4.18E-05,2.63E-03,9.83E-01
839,9.80E-01,0.00E+00,4.03E-05,2.69E-03,9.83E-01
840,9.79E-01,0.00E+00,3.78E-05,2.66E-03,9.80E-01
841,9.78E-01,0.00E+00,3.49E-05,2.57E-03,9.78E-01
842,9.76E-01,0.00E+00,3.65E-05,2.42E-03,9.74E-01
843,9.73E-01,0.00E+00,3.54E-05,2.24E-03,9.71E-01
844,9.71E-01,0.00E+00,3.87E-05,2.03E-03,9.69E-01
845,9.70E-01,0.00E+00,3.94E-05,1.82E-03,9.67E-01
846,9.67E-01,0.00E+00,4.11E-05,1.61E-03,9.65E-01
847,9.66E-01,0.00E+00,4.23E-05,1.43E-03,9.64E-01
848,9.69E-01,0.00E+00,4.41E-05,1.28E-03,9.67E-01
849,9.70E-01,0.00E+00,4.67E-05,1.18E-03,9.66E-01
850,9.71E-01,0.00E+00,4.93E-05,1.14E-03,9.67E-01
851,9.75E-01,0.00E+00,5.08E-05,1.17E-03,9.69E-01
852,9.76E-01,0.00E+00,5.36E-05,1.29E-03,9.70E-01
853,9.76E-01,0.00E+00,5.63E-05,1.49E-03,9.70E-01
854,9.76E-01,0.00E+00,5.92E-05,1.75E-03,9.69E-01
855,9.72E-01,0.00E+00,6.20E-05,2.05E-03,9.66E-01
856,9.66E-01,0.00E+00,6.48E-05,2.39E-03,9.60E-01
857,9.60E-01,0.00E+00,6.76E-05,2.76E-03,9.54E-01
858,9.53E-01,0.00E+00,7.04E-05,3.13E-03,9.47E-01
859,9.47E-01,0.00E+00,7.32E-05,3.49E-03,9.42E-01
860,9.44E-01,0.00E+00,7.60E-05,3.83E-03,9.40E-01
861,9.44E-01,0.00E+00,7.89E-05,4.15E-03,9.39E-01
862,9.43E-01,0.00E+00,8.17E-05,4.42E-03,9.37E-01
863,9.39E-01,0.00E+00,8.44E-05,4.62E-03,9.33E-01
864,9.35E-01,0.00E+00,8.73E-05,4.76E-03,9.28E-01
865,9.29E-01,0.00E+00,9.01E-05,4.81E-03,9.22E-01
866,9.24E-01,0.00E+00,9.25E-05,4.76E-03,9.14E-01
867,9.20E-01,0.00E+00,9.53E-05,4.66E-03,9.03E-01
868,9.18E-01,0.00E+00,9.81E-05,4.52E-03,8.93E-01
869,9.17E-01,0.00E+00,1.01E-04,4.40E-03,8.85E-01
870,9.16E-01,0.00E+00,1.04E-04,4.28E-03,8.74E-01
871,9.13E-01,0.00E+00,1.06E-04,4.16E-03,8.61E-01
872,9.10E-01,0.00E+00,1.09E-04,4.06E-03,8.48E-01
873,9.02E-01,0.00E+00,1.12E-04,3.95E-03,8.28E-01
874,8.93E-01,0.00E+00,1.15E-04,3.86E-03,8.07E-01
875,8.83E-01,0.00E+00,1.17E-04,3.78E-03,7.82E-01
876,8.73E-01,0.00E+00,1.20E-04,3.71E-03,7.56E-01
877,8.62E-01,0.00E+00,1.23E-04,3.64E-03,7.26E-01
878,8.53E-01,0.00E+00,1.26E-04,3.59E-03,6.97E-01
879,8.44E-01,0.00E+00,1.29E-04,3.53E-03,6.67E-01
880,8.36E-01,0.00E+00,1.32E-04,3.49E-03,6.38E-01
881,8.29E-01,0.00E+00,1.35E-04,3.47E-03,6.10E-01
882,8.19E-01,0.00E+00,1.39E-04,3.43E-03,5.79E-01
883,8.09E-01,0.00E+00,1.42E-04,3.41E-03,5.49E-01
884,7.97E-01,0.00E+00,1.46E-04,3.39E-03,5.17E-01
885,7.82E-01,0.00E+00,1.50E-04,3.38E-03,4.84E-01
886,7.65E-01,0.00E+00,1.54E-04,3.37E-03,4.49E-01
887,7.45E-01,0.00E+00,1.58E-04,3.36E-03,4.14E-01
888,7.24E-01,0.00E+00,1.63E-04,3.35E-03,3.80E-01
889,7.02E-01,0.00E+00,1.68E-04,3.35E-03,3.48E-01
890,6.78E-01,0.00E+00,1.74E-04,3.35E-03,3.17E-01
891,6.51E-01,0.00E+00,1.80E-04,3.35E-03,2.86E-01
892,6.23E-01,0.00E+00,1.86E-04,3.35E-03,2.56E-01
893,5.90E-01,0.00E+00,1.93E-04,3.35E-03,2.26E-01
894,5.58E-01,0.00E+00,1.99E-04,3.36E-03,1.99E-01
895,5.22E-01,0.00E+00,2.04E-04,3.37E-03,1.72E-01
896,4.86E-01,0.00E+00,2.09E-04,3.39E-03,1.48E-01
897,4.47E-01,0.00E+00,2.11E-04,3.40E-03,1.26E-01
898,4.07E-01,0.00E+00,2.10E-04,3.41E-03,1.08E-01
899,3.68E-01,0.00E+00,2.09E-04,3.44E-03,9.21E-02
900,3.28E-01,0.00E+00,2.05E-04,3.47E-03,7.89E-02
901,2.90E-01,0.00E+00,2.01E-04,3.50E-03,6.79E-02
902,2.54E-01,0.00E+00,1.96E-04,3.54E-03,5.87E-02
903,2.21E-01,0.00E+00,1.92E-04,3.58E-03,5.11E-02
904,1.90E-01,0.00E+00,1.86E-04,3.62E-03,4.45E-02
905,1.62E-01,0.00E+00,1.81E-04,3.65E-03,3.84E-02
906,1.38E-01,0.00E+00,1.77E-04,3.71E-03,3.28E-02
907,1.17E-01,0.00E+00,1.72E-04,3.75E-03,2.76E-02
908,9.90E-02,0.00E+00,1.67E-04,3.79E-03,2.35E-02
909,8.36E-02,0.00E+00,1.62E-04,3.85E-03,2.08E-02
910,7.08E-02,0.00E+00,1.58E-04,3.91E-03,1.94E-02
911,5.98E-02,0.00E+00,1.53E-04,3.94E-03,1.82E-02
912,5.08E-02,0.00E+00,1.48E-04,3.97E-03,1.66E-02
913,4.35E-02,0.00E+00,1.43E-04,4.00E-03,1.43E-02
914,3.73E-02,0.00E+00,1.38E-04,4.02E-03,1.19E-02
915,3.22E-02,0.00E+00,1.34E-04,4.04E-03,1.01E-02
916,2.80E-02,0.00E+00,1.29E-04,4.05E-03,9.72E-03
917,2.46E-02,0.00E+00,1.25E-04,4.05E-03,1.04E-02
918,2.20E-02,0.00E+00,1.20E-04,4.04E-03,1.14E-02
919,1.99E-02,0.00E+00,1.15E-04,4.00E-03,1.22E-02
920,1.86E-02,0.00E+00,1.11E-04,3.97E-03,1.27E-02
921,1.78E-02,0.00E+00,1.07E-04,3.94E-03,1.28E-02
922,1.76E-02,0.00E+00,1.03E-04,3.89E-03,1.28E-02
923,1.73E-02,0.00E+00,9.86E-05,3.82E-03,1.26E-02
924,1.67E-02,0.00E+00,9.49E-05,3.76E-03,1.25E-02
925,1.54E-02,0.00E+00,9.10E-05,3.68E-03,1.24E-02
926,1.37E-02,0.00E+00,8.73E-05,3.61E-03,1.21E-02
927,1.18E-02,0.00E+00,8.36E-05,3.52E-03,1.16E-02
928,1.01E-02,0.00E+00,8.01E-05,3.42E-03,1.10E-02
929,8.76E-03,0.00E+00,7.69E-05,3.33E-03,1.02E-02
930,7.77E-03,0.00E+00,7.37E-05,3.23E-03,9.36E-03
931,7.29E-03,0.00E+00,7.07E-05,3.14E-03,8.65E-03
932,7.35E-03,0.00E+00,6.79E-05,3.05E-03,8.14E-03
933,7.79E-03,0.00E+00,0.00E+00,2.96E-03,7.83E-03
934,8.38E-03,0.00E+00,0.00E+00,2.88E-03,7.67E-03
935,8.84E-03,0.00E+00,0.00E+00,2.81E-03,7.54E-03
936,8.96E-03,0.00E+00,0.00E+00,2.73E-03,7.21E-03
937,8.81E-03,0.00E+00,0.00E+00,2.66E-03,6.66E-03
938,8.52E-03,0.00E+00,0.00E+00,2.61E-03,5.96E-03
939,8.13E-03,0.00E+00,0.00E+00,2.55E-03,5.27E-03
940,7.67E-03,0.00E+00,0.00E+00,2.50E-03,4.85E-03
941,7.10E-03,0.00E+00,0.00E+00,2.45E-03,4.79E-03
942,6.43E-03,0.00E+00,0.00E+00,2.42E-03,4.97E-03
943,5.74E-03,0.00E+00,0.00E+00,2.39E-03,5.12E-03
944,5.20E-03,0.00E+00,0.00E+00,2.36E-03,5.08E-03
945,5.02E-03,0.00E+00,0.00E+00,2.35E-03,4.91E-03
946,5.22E-03,0.00E+00,0.00E+00,2.35E-03,4.67E-03
947,5.63E-03,0.00E+00,0.00E+00,2.35E-03,4.38E-03
948,6.06E-03,0.00E+00,0.00E+00,2.35E-03,4.03E-03
949,6.33E-03,0.00E+00,0.00E+00,2.37E-03,3.69E-03
950,6.26E-03,0.00E+00,0.00E+00,2.39E-03,3.34E-03
951,5.84E-03,0.00E+00,0.00E+00,2.42E-03,3.02E-03
952,5.18E-03,0.00E+00,0.00E+00,2.47E-03,2.71E-03
953,4.46E-03,0.00E+00,0.00E+00,2.51E-03,2.44E-03
954,3.92E-03,0.00E+00,0.00E+00,2.57E-03,2.32E-03
955,3.70E-03,0.00E+00,0.00E+00,2.63E-03,2.40E-03
956,3.79E-03,0.00E+00,0.00E+00,2.71E-03,2.64E-03
957,4.08E-03,0.00E+00,0.00E+00,2.79E-03,2.92E-03
958,4.42E-03,0.00E+00,0.00E+00,2.89E-03,3.16E-03
959,4.65E-03,0.00E+00,0.00E+00,2.99E-03,3.36E-03
960,4.65E-03,0.00E+00,0.00E+00,3.10E-03,3.55E-03
961,4.45E-03,0.00E+00,0.00E+00,3.23E-03,3.76E-03
962,4.09E-03,0.00E+00,0.00E+00,3.36E-03,3.92E-03
963,3.68E-03,0.00E+00,0.00E+00,3.45E-03,3.97E-03
964,3.35E-03,0.00E+00,0.00E+00,3.54E-03,3.96E-03
965,3.14E-03,0.00E+00,0.00E+00,3.58E-03,3.92E-03
966,3.05E-03,0.00E+00,0.00E+00,3.56E-03,3.90E-03
967,3.06E-03,0.00E+00,0.00E+00,3.51E-03,3.92E-03
968,3.11E-03,0.00E+00,0.00E+00,3.37E-03,3.84E-03
969,3.18E-03,0.00E+00,0.00E+00,3.17E-03,3.64E-03
970,3.23E-03,0.00E+00,0.00E+00,2.90E-03,3.32E-03
971,3.21E-03,0.00E+00,0.00E+00,2.59E-03,3.02E-03
972,3.10E-03,0.00E+00,0.00E+00,2.28E-03,2.83E-03
973,2.92E-03,0.00E+00,0.00E+00,2.04E-03,2.82E-03
974,2.72E-03,0.00E+00,0.00E+00,1.90E-03,2.89E-03
975,2.53E-03,0.00E+00,0.00E+00,1.91E-03,2.91E-03
976,2.36E-03,0.00E+00,0.00E+00,2.08E-03,2.78E-03
977,2.25E-03,0.00E+00,0.00E+00,2.27E-03,2.61E-03
978,2.17E-03,0.00E+00,0.00E+00,1.97E-03,2.42E-03
979,2.15E-03,0.00E+00,0.00E+00,2.12E-03,2.33E-03
980,2.15E-03,0.00E+00,0.00E+00,2.02E-03,2.34E-03
981,2.12E-03,0.00E+00,0.00E+00,2.22E-03,2.44E-03
982,2.07E-03,0.00E+00,0.00E+00,2.65E-03,2.61E-03
983,2.00E-03,0.00E+00,0.00E+00,3.76E-03,2.79E-03
984,1.92E-03,0.00E+00,0.00E+00,2.59E-03,2.89E-03
985,1.84E-03,0.00E+00,0.00E+00,2.79E-03,2.83E-03
986,1.73E-03,0.00E+00,0.00E+00,1.96E-03,2.60E-03
987,1.58E-03,0.00E+00,0.00E+00,1.59E-03,2.29E-03
988,1.40E-03,0.00E+00,0.00E+00,1.90E-03,2.00E-03
989,1.21E-03,0.00E+00,0.00E+00,1.23E-03,1.78E-03
990,1.06E-03,0.00E+00,0.00E+00,2.16E-03,1.63E-03
991,9.84E-04,0.00E+00,0.00E+00,3.00E-03,1.52E-03
992,9.78E-04,0.00E+00,0.00E+00,1.89E-03,1.43E-03
993,1.05E-03,0.00E+00,0.00E+00,1.51E-03,1.38E-03
994,1.14E-03,0.00E+00,0.00E+00,8.92E-04,1.37E-03
995,1.22E-03,0.00E+00,0.00E+00,1.27E-03,1.40E-03
996,1.27E-03,0.00E+00,0.00E+00,2.52E-03,1.43E-03
997,1.28E-03,0.00E+00,0.00E+00,1.97E-03,1.39E-03
998,1.27E-03,0.00E+00,0.00E+00,1.93E-03,1.26E-03
999,1.24E-03,0.00E+00,0.00E+00,1.03E-03,1.04E-03
1000,1.20E-03,0.00E+00,0.00E+00,1.71E-03,7.92E-04
